movieId,title,genres,userId,rating,timestamp
3481,High Fidelity (2000),Comedy|Drama|Romance,211,4.0,1350912832
1214,Alien (1979),Horror|Sci-Fi,524,3.0,851609753
541,Blade Runner (1982),Action|Sci-Fi|Thriller,41,2.0,1459367431
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,51,5.0,1230932691
318,"Shawshank Redemption, The (1994)",Crime|Drama,40,5.0,832058930
66097,Coraline (2009),Animation|Fantasy|Thriller,119,3.0,1439148560
44199,Inside Man (2006),Crime|Drama|Thriller,298,2.5,1447598401
8094,Bad Day at Black Rock (1955),Drama|Thriller|Western,474,3.5,1139102246
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,522,4.5,1253344774
832,Ransom (1996),Crime|Thriller,269,4.0,850865644
74851,From Paris with Love (2010),Action|Crime,599,2.0,1498509989
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,189,4.0,1439465091
158,Casper (1995),Adventure|Children,414,2.0,961681395
2948,From Russia with Love (1963),Action|Adventure|Thriller,288,3.0,978465565
5047,Kung Pow: Enter the Fist (2002),Action|Comedy,387,0.5,1117356355
1968,"Breakfast Club, The (1985)",Comedy|Drama,519,3.0,1518379993
125,Flirting With Disaster (1996),Comedy,288,3.5,1238944392
3868,"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance,414,3.0,991144390
68954,Up (2009),Adventure|Animation|Children|Drama,204,4.0,1327182451
8529,"Terminal, The (2004)",Comedy|Drama|Romance,249,3.5,1354896379
3,Grumpier Old Men (1995),Comedy|Romance,414,4.0,961439278
81229,Red (2010),Action|Comedy,89,4.0,1520409018
1272,Patton (1970),Drama|War,305,5.0,1494272751
6618,Shaolin Soccer (Siu lam juk kau) (2001),Action|Comedy,560,3.5,1469651044
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,372,2.0,874415603
3752,"Me, Myself & Irene (2000)",Adventure|Comedy,219,2.5,1195348983
2792,Airplane II: The Sequel (1982),Comedy,599,2.0,1498510825
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,387,3.0,1117355720
3897,Almost Famous (2000),Drama,480,5.0,1179160580
3821,Nutty Professor II: The Klumps (2000),Comedy,453,4.0,972621592
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,242,5.0,834073137
5956,Gangs of New York (2002),Crime|Drama,561,3.0,1491095137
88163,"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance,483,4.0,1330911991
586,Home Alone (1990),Children|Comedy,483,2.0,1181496723
3071,Stand and Deliver (1988),Comedy|Drama,414,4.0,961517591
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,274,4.5,1171493899
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,525,3.5,1476476493
45186,Mission: Impossible III (2006),Action|Adventure|Thriller,232,3.5,1218166540
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,567,3.0,1525287071
1380,Grease (1978),Comedy|Musical|Romance,483,2.0,1215870826
